bhk,area_sqft,furnishing_status,location_type,mainroad_access,floor_number,parking_spaces,house_age,price
5,1702,Semi-Furnished,Rural,No,7,1,14,6725824
1,1705,Semi-Furnished,Rural,Yes,4,1,17,5291960
2,1163,Unfurnished,Urban,Yes,3,2,22,4554370
4,524,Semi-Furnished,Rural,Yes,6,1,21,2938473
1,2490,Unfurnished,Suburban,No,4,3,18,7329235
4,1703,Semi-Furnished,Rural,Yes,6,0,29,6226231
2,1209,Unfurnished,Urban,No,0,2,25,4404458
2,2379,Unfurnished,Urban,No,0,3,1,7980392
1,1684,Semi-Furnished,Suburban,Yes,9,1,25,5066051
2,2724,Furnished,Suburban,Yes,2,1,3,9022107
5,784,Semi-Furnished,Rural,No,10,3,2,4944736
2,562,Unfurnished,Rural,No,1,0,6,2383812
4,1502,Furnished,Urban,Yes,1,0,23,6224074
4,1161,Semi-Furnished,Suburban,Yes,6,2,17,5591129
4,2703,Semi-Furnished,Suburban,Yes,9,1,9,9402289
4,1992,Semi-Furnished,Suburban,No,1,3,6,7858731
5,1466,Furnished,Rural,No,10,0,7,6317390
3,1348,Unfurnished,Suburban,No,3,2,5,5629568
1,1607,Semi-Furnished,Urban,No,1,1,21,4875632
4,1188,Semi-Furnished,Urban,No,5,1,25,5629098
2,647,Semi-Furnished,Rural,Yes,7,2,0,3529167
4,841,Semi-Furnished,Rural,Yes,9,2,3,5213829
2,1586,Semi-Furnished,Suburban,No,3,0,13,5208646
2,2224,Unfurnished,Rural,No,4,3,16,6754891
4,1883,Unfurnished,Urban,Yes,3,1,19,7216727
5,826,Semi-Furnished,Suburban,Yes,2,3,17,5096608
2,2292,Furnished,Urban,Yes,4,1,10,8348954
2,2259,Unfurnished,Suburban,Yes,8,1,28,6936387
4,1489,Furnished,Rural,No,7,3,20,6408202
2,2762,Unfurnished,Suburban,Yes,7,2,25,8130319
2,2982,Semi-Furnished,Suburban,No,7,0,13,8898980
4,1451,Unfurnished,Urban,Yes,7,1,8,7091263
4,1222,Semi-Furnished,Urban,Yes,6,2,26,6218941
1,2579,Unfurnished,Suburban,Yes,7,1,14,7572816
5,2832,Semi-Furnished,Rural,No,10,0,11,9561711
5,928,Semi-Furnished,Rural,No,7,1,9,4675823
2,2000,Semi-Furnished,Urban,Yes,7,0,18,7211114
5,785,Semi-Furnished,Rural,No,9,0,23,4080328
2,2565,Furnished,Urban,No,6,1,18,8503396
1,1268,Semi-Furnished,Rural,Yes,0,1,5,3907393
4,1894,Furnished,Suburban,Yes,3,0,19,7219108
4,693,Furnished,Urban,No,3,2,23,5059517
4,1487,Semi-Furnished,Urban,No,4,3,26,6578039
5,1636,Furnished,Suburban,No,9,0,5,7580655
1,2661,Unfurnished,Urban,Yes,5,1,7,8246853
5,2201,Semi-Furnished,Rural,Yes,3,1,0,8284120
5,1446,Furnished,Rural,No,1,2,21,6573413
1,1330,Semi-Furnished,Urban,Yes,5,3,16,5137021
1,2420,Semi-Furnished,Rural,Yes,7,0,16,6869737
1,554,Semi-Furnished,Urban,No,7,0,23,2430042
1,1299,Furnished,Suburban,No,6,3,14,4408876
4,1277,Unfurnished,Urban,Yes,5,0,6,6205358
3,1981,Unfurnished,Suburban,Yes,1,3,18,7681744
3,2401,Furnished,Rural,No,6,1,21,7731097
1,2709,Semi-Furnished,Suburban,Yes,10,3,24,8130996
3,2634,Furnished,Rural,Yes,4,0,22,8560068
3,554,Furnished,Urban,No,5,3,27,4037133
1,2323,Furnished,Rural,No,9,2,2,7009406
3,1701,Semi-Furnished,Urban,Yes,7,1,29,6404174
5,1332,Furnished,Urban,Yes,7,1,29,6946769
2,812,Semi-Furnished,Suburban,Yes,2,3,28,4027088
2,2358,Furnished,Suburban,No,6,0,21,7107787
1,2507,Unfurnished,Suburban,Yes,0,2,10,7852399
4,2506,Furnished,Suburban,Yes,0,1,19,9116658
1,2990,Furnished,Rural,No,6,1,29,7767446
4,2290,Unfurnished,Rural,No,9,0,28,7364526
2,827,Semi-Furnished,Rural,Yes,8,0,18,3150141
1,1787,Semi-Furnished,Urban,No,6,2,8,6259402
5,2643,Furnished,Rural,No,9,3,9,9719148
3,1611,Unfurnished,Rural,Yes,4,0,1,5795534
4,1811,Semi-Furnished,Rural,No,7,3,0,7276212
3,951,Furnished,Suburban,No,1,2,29,4455679
3,2023,Unfurnished,Rural,Yes,8,3,15,6608393
1,664,Semi-Furnished,Urban,No,5,1,17,2745751
3,681,Semi-Furnished,Suburban,Yes,8,3,22,4298381
5,1409,Unfurnished,Urban,Yes,1,2,25,6896072
3,1322,Unfurnished,Rural,No,2,2,16,4680253
1,1443,Unfurnished,Suburban,No,7,2,5,4435785
5,2501,Unfurnished,Urban,No,0,3,13,9526552
2,2554,Furnished,Rural,Yes,9,1,22,7390640
3,829,Unfurnished,Urban,No,6,0,24,3872243
1,1274,Semi-Furnished,Urban,Yes,6,1,14,4735312
2,2698,Semi-Furnished,Urban,No,0,3,13,8741682
2,646,Furnished,Rural,No,8,3,23,2991375
4,1414,Semi-Furnished,Rural,No,7,0,21,5387794
5,2071,Semi-Furnished,Urban,Yes,3,3,2,9806139
3,1808,Unfurnished,Suburban,No,9,2,23,5957623
1,581,Semi-Furnished,Suburban,No,10,2,22,2644376
4,1013,Furnished,Rural,Yes,4,2,18,5367120
5,2420,Unfurnished,Rural,Yes,1,2,24,8514181
4,2439,Unfurnished,Rural,No,8,2,11,8218147
5,1245,Furnished,Rural,No,5,3,1,6350973
5,1909,Unfurnished,Rural,No,2,0,2,7269637
3,1206,Unfurnished,Suburban,Yes,6,0,17,5176826
5,970,Furnished,Rural,Yes,8,2,28,5486121
4,895,Unfurnished,Urban,Yes,2,3,0,5889221
5,2055,Furnished,Urban,Yes,1,1,19,8821438
3,2808,Furnished,Suburban,No,6,1,20,8773188
3,1304,Semi-Furnished,Urban,Yes,6,3,28,5908306
4,1433,Semi-Furnished,Suburban,Yes,3,2,5,6923821
2,1779,Unfurnished,Suburban,Yes,10,0,4,5762066
2,2257,Unfurnished,Urban,No,8,3,0,7681482
5,1404,Furnished,Rural,No,7,1,18,6225253
1,1576,Unfurnished,Urban,Yes,0,1,0,5493069
5,2390,Furnished,Urban,Yes,0,1,26,9446495
4,2023,Furnished,Suburban,No,4,2,20,7672780
4,1887,Unfurnished,Urban,No,5,1,20,6994376
4,1803,Furnished,Suburban,No,2,3,15,7262675
4,1092,Semi-Furnished,Rural,No,8,3,11,5300685
4,2606,Unfurnished,Rural,No,9,1,26,7883526
3,627,Semi-Furnished,Rural,No,5,3,28,2837925
2,1235,Unfurnished,Urban,No,3,1,21,4491495
4,1020,Furnished,Suburban,No,6,1,7,5506391
1,736,Unfurnished,Rural,Yes,7,0,25,2100615
1,1804,Semi-Furnished,Suburban,Yes,8,2,15,5817083
1,2281,Furnished,Suburban,Yes,10,2,27,7071371
1,1801,Unfurnished,Rural,Yes,5,0,0,4953358
3,2551,Unfurnished,Rural,Yes,5,0,3,8216441
1,941,Unfurnished,Suburban,Yes,7,2,9,3749187
4,2576,Semi-Furnished,Rural,No,4,1,10,8508138
5,1304,Semi-Furnished,Suburban,No,2,1,16,6391184
1,574,Unfurnished,Suburban,Yes,2,2,24,2229500
3,2675,Furnished,Rural,Yes,5,1,26,8743081
3,2589,Furnished,Urban,No,1,0,22,8763398
1,1879,Semi-Furnished,Rural,No,5,1,6,5360189
5,540,Furnished,Urban,No,5,1,11,4976025
1,2581,Semi-Furnished,Suburban,Yes,7,3,20,7881047
3,2200,Unfurnished,Suburban,No,6,3,6,7974056
2,1901,Semi-Furnished,Urban,Yes,7,3,11,7067164
4,1087,Semi-Furnished,Suburban,Yes,8,1,14,5334996
3,2122,Unfurnished,Urban,No,5,2,1,8092260
1,841,Furnished,Urban,No,2,0,13,3423393
4,2574,Semi-Furnished,Suburban,Yes,9,1,12,9425106
1,1145,Semi-Furnished,Urban,No,2,2,3,4942387
1,1230,Unfurnished,Rural,No,10,1,13,3384640
2,667,Furnished,Rural,Yes,0,0,13,3243772
4,1109,Semi-Furnished,Suburban,No,10,1,15,4991761
4,2815,Unfurnished,Suburban,Yes,4,0,6,9768446
2,2272,Semi-Furnished,Urban,Yes,3,1,18,7809884
3,2540,Unfurnished,Urban,No,8,0,1,8724607
1,954,Furnished,Urban,Yes,8,1,9,4225885
5,2208,Furnished,Urban,Yes,4,0,17,8847783
1,1201,Furnished,Rural,No,9,3,28,3893150
1,2099,Furnished,Rural,No,3,1,16,5564819
3,629,Semi-Furnished,Suburban,No,6,1,4,3679029
1,2345,Semi-Furnished,Urban,Yes,5,2,11,7930736
2,1886,Furnished,Urban,Yes,3,2,5,7453379
2,1192,Furnished,Suburban,No,9,0,21,4749668
4,1894,Furnished,Urban,Yes,1,1,8,8430021
5,1293,Semi-Furnished,Urban,No,0,0,19,6221720
1,528,Furnished,Urban,No,3,3,0,3475462
1,648,Furnished,Urban,Yes,3,2,21,3490525
3,1819,Furnished,Urban,No,0,0,14,6651064
2,2558,Unfurnished,Suburban,Yes,5,0,20,7506920
5,1636,Furnished,Urban,Yes,3,2,25,7777847
4,686,Unfurnished,Suburban,No,0,1,5,3757755
2,1750,Unfurnished,Urban,Yes,0,0,18,6124498
4,1833,Furnished,Rural,No,0,2,17,6892685
3,597,Unfurnished,Rural,Yes,7,1,5,3007921
3,554,Furnished,Rural,Yes,9,3,12,3875842
1,1257,Semi-Furnished,Rural,Yes,7,2,0,4585674
5,905,Semi-Furnished,Suburban,No,1,0,22,4967906
4,2616,Semi-Furnished,Suburban,Yes,10,3,22,9385186
2,1812,Semi-Furnished,Urban,No,6,1,25,6298288
3,2285,Unfurnished,Rural,Yes,7,1,12,7558544
1,1250,Furnished,Suburban,Yes,7,2,6,4966480
1,2262,Furnished,Urban,No,10,2,14,7210077
4,864,Furnished,Urban,No,9,2,11,5495320
3,2526,Semi-Furnished,Suburban,No,10,1,26,8284096
5,981,Semi-Furnished,Rural,No,6,3,25,4983174
3,2748,Furnished,Urban,No,4,1,0,10139587
4,653,Semi-Furnished,Rural,Yes,0,0,14,3747373
4,2024,Furnished,Rural,Yes,8,1,3,7856481
3,2620,Furnished,Rural,No,6,0,12,8075502
4,2843,Furnished,Urban,Yes,1,3,22,10662154
3,1540,Furnished,Rural,Yes,5,2,26,5481555
2,2164,Furnished,Urban,Yes,1,2,24,7620791
3,1740,Furnished,Rural,No,0,1,4,6101575
3,560,Furnished,Urban,Yes,6,2,28,4167067
4,1438,Semi-Furnished,Rural,Yes,1,3,1,6723889
4,2139,Furnished,Suburban,Yes,1,2,22,8436701
1,2589,Furnished,Rural,No,10,1,25,6548168
1,524,Semi-Furnished,Rural,Yes,4,3,0,3168413
2,1562,Semi-Furnished,Urban,Yes,4,0,15,5964055
1,630,Semi-Furnished,Urban,No,6,1,22,2629700
3,1752,Furnished,Rural,No,0,0,5,6211425
4,607,Unfurnished,Suburban,Yes,7,3,22,4262737
1,671,Unfurnished,Suburban,Yes,2,1,15,2594130
1,1958,Semi-Furnished,Urban,No,3,1,13,6324583
2,601,Unfurnished,Suburban,No,8,3,28,2671005
2,2822,Semi-Furnished,Rural,No,3,2,25,7974127
3,2136,Furnished,Urban,No,9,1,2,8012744
4,1540,Unfurnished,Rural,No,4,1,14,5433465
2,829,Furnished,Urban,No,6,0,2,4261667
1,2020,Unfurnished,Urban,No,3,2,22,6327059
4,511,Furnished,Urban,Yes,0,0,28,4320476
4,1841,Unfurnished,Urban,No,8,0,1,7546485
1,715,Furnished,Suburban,No,3,2,0,3452368
2,838,Furnished,Rural,Yes,8,2,8,3828454
1,2299,Unfurnished,Rural,No,5,3,8,6705432
4,2250,Furnished,Rural,No,0,2,22,7613496
5,2008,Furnished,Urban,Yes,2,1,6,8869865
5,2921,Furnished,Suburban,No,10,2,2,10669659
3,1209,Unfurnished,Rural,Yes,1,3,25,4988511
1,1723,Unfurnished,Suburban,Yes,8,3,17,5806057
1,1612,Furnished,Urban,Yes,0,3,10,6377461
3,1791,Furnished,Rural,Yes,8,2,6,7071885
3,988,Unfurnished,Suburban,No,8,2,8,4334143
3,2061,Unfurnished,Urban,Yes,7,0,0,7822219
4,546,Furnished,Suburban,Yes,7,0,28,3879965
1,1277,Furnished,Rural,No,10,1,13,4151876
4,1539,Furnished,Rural,Yes,0,0,19,6144455
3,1210,Semi-Furnished,Urban,Yes,10,1,5,5798011
1,900,Unfurnished,Urban,Yes,7,3,6,4288181
4,2317,Semi-Furnished,Urban,Yes,9,0,9,9087733
4,749,Unfurnished,Suburban,No,2,2,6,4318830
3,890,Unfurnished,Suburban,Yes,10,0,25,3912784
1,834,Unfurnished,Suburban,No,6,1,1,2903311
3,1128,Unfurnished,Urban,No,10,0,29,4040387
1,636,Unfurnished,Rural,Yes,0,3,3,2820091
5,2021,Unfurnished,Rural,Yes,0,2,20,7874281
2,1326,Unfurnished,Suburban,Yes,9,1,29,4637413
2,1226,Semi-Furnished,Suburban,Yes,4,2,27,4335087
2,2000,Furnished,Rural,No,4,2,16,6309830
3,1489,Furnished,Rural,No,7,1,0,5328830
5,2919,Semi-Furnished,Suburban,No,6,2,9,10791440
1,1434,Semi-Furnished,Suburban,Yes,7,2,18,4707789
4,901,Semi-Furnished,Rural,No,5,0,14,4423580
1,1966,Semi-Furnished,Urban,Yes,5,2,9,7024173
4,1114,Unfurnished,Suburban,Yes,1,2,18,5244881
1,1796,Furnished,Rural,Yes,5,2,11,5543443
5,1682,Unfurnished,Rural,Yes,4,2,23,6915074
4,2735,Furnished,Rural,Yes,2,1,15,9218635
3,1621,Furnished,Rural,No,5,3,8,6262996
1,630,Semi-Furnished,Urban,No,7,0,14,2698434
1,1694,Unfurnished,Rural,Yes,8,2,29,4398768
4,682,Semi-Furnished,Suburban,No,0,2,26,3638906
3,863,Unfurnished,Urban,Yes,2,1,27,4412836
3,538,Furnished,Rural,Yes,2,3,16,3562688
5,1872,Semi-Furnished,Urban,Yes,10,2,13,8409382
3,1420,Semi-Furnished,Suburban,No,7,1,26,5419172
3,515,Furnished,Rural,Yes,0,0,17,3382188
3,992,Furnished,Suburban,Yes,4,0,25,4525491
2,1949,Furnished,Rural,No,2,2,1,6484380
5,1631,Semi-Furnished,Rural,No,1,2,3,7117528
1,810,Unfurnished,Rural,No,7,3,17,2363612
4,1238,Semi-Furnished,Rural,Yes,2,3,6,5969630
1,1045,Unfurnished,Rural,Yes,6,2,12,3582877
5,2961,Semi-Furnished,Urban,No,10,1,14,10908546
4,750,Semi-Furnished,Rural,Yes,0,3,24,3957649
5,1258,Furnished,Rural,No,5,2,22,5752728
3,2304,Unfurnished,Urban,No,2,3,27,7794347
4,1797,Semi-Furnished,Urban,Yes,7,2,21,7692477
3,2131,Semi-Furnished,Urban,Yes,5,0,25,7723648
1,2414,Furnished,Urban,No,1,2,0,8334342
1,1313,Furnished,Urban,No,5,0,10,4683506
4,528,Unfurnished,Urban,No,6,3,9,4290485
4,1457,Semi-Furnished,Rural,No,4,2,24,5892434
5,2532,Unfurnished,Rural,Yes,2,3,4,9559315
5,976,Semi-Furnished,Suburban,No,3,0,15,5493530
3,817,Unfurnished,Rural,No,3,2,10,3700245
4,744,Furnished,Rural,No,5,3,20,4078576
1,1247,Semi-Furnished,Urban,Yes,9,0,5,4550874
5,1196,Unfurnished,Urban,Yes,0,3,8,6569697
5,771,Furnished,Rural,No,10,1,12,4869910
1,2271,Furnished,Suburban,Yes,3,0,23,7055219
5,1762,Unfurnished,Urban,Yes,9,0,7,8234872
3,2924,Semi-Furnished,Rural,Yes,3,0,13,9218621
4,765,Semi-Furnished,Rural,No,9,2,23,4185067
1,1420,Furnished,Suburban,No,0,2,0,5033996
4,839,Semi-Furnished,Suburban,Yes,8,2,16,4746216
5,888,Semi-Furnished,Urban,No,3,1,23,5580015
5,2550,Semi-Furnished,Suburban,No,6,1,4,9628536
1,1665,Furnished,Rural,Yes,2,0,24,4903988
3,875,Unfurnished,Rural,Yes,9,1,1,4194974
2,2533,Semi-Furnished,Suburban,No,2,3,24,7967137
1,2871,Furnished,Suburban,Yes,7,0,27,8494263
2,645,Furnished,Suburban,No,7,0,29,3091497
2,2481,Unfurnished,Suburban,No,10,3,23,7701344
3,792,Semi-Furnished,Urban,Yes,0,0,8,4789160
2,931,Semi-Furnished,Suburban,No,9,1,3,4120312
2,1204,Unfurnished,Urban,No,1,2,16,4697766
3,2498,Unfurnished,Rural,Yes,7,3,16,8326312
2,898,Furnished,Suburban,Yes,0,1,20,3816100
2,1463,Furnished,Urban,Yes,7,3,17,6478278
2,2734,Unfurnished,Suburban,No,7,3,15,8146095
1,2541,Semi-Furnished,Rural,Yes,1,0,29,6829660
1,2328,Furnished,Rural,Yes,3,0,7,6710969
1,2608,Furnished,Rural,Yes,5,1,25,7480677
3,1438,Semi-Furnished,Suburban,Yes,10,3,10,6238214
5,1209,Furnished,Suburban,No,8,0,20,5603548
2,1306,Semi-Furnished,Urban,No,7,0,20,4949139
2,1963,Semi-Furnished,Rural,Yes,7,3,17,6401915
3,1825,Semi-Furnished,Suburban,No,6,1,22,6548729
2,510,Unfurnished,Rural,Yes,8,1,28,2165265
1,1585,Unfurnished,Rural,Yes,1,3,23,4831584
5,2368,Unfurnished,Urban,No,2,1,9,8998486
4,2773,Semi-Furnished,Urban,No,9,0,12,9574633
2,1271,Semi-Furnished,Urban,Yes,7,3,16,5515772
1,2094,Unfurnished,Urban,Yes,5,0,17,6666340
4,2107,Furnished,Rural,No,9,2,9,8122975
5,1833,Semi-Furnished,Urban,Yes,8,2,15,8221465
4,1384,Furnished,Urban,No,9,1,19,6645369
1,1889,Furnished,Urban,Yes,3,2,4,6508564
4,725,Semi-Furnished,Urban,Yes,7,0,12,4633662
3,1324,Semi-Furnished,Rural,No,9,2,17,4778244
4,2765,Furnished,Urban,No,2,0,16,9521998
2,1436,Furnished,Rural,No,2,1,8,4663282
2,2806,Unfurnished,Suburban,No,7,1,13,8387599
3,2411,Unfurnished,Rural,No,4,0,16,7164686
1,2296,Semi-Furnished,Rural,No,2,2,28,6255881
2,553,Unfurnished,Urban,No,9,1,3,3410594
5,1226,Unfurnished,Suburban,Yes,10,3,17,6428123
2,2044,Unfurnished,Suburban,Yes,0,1,26,6571552
2,1543,Unfurnished,Suburban,Yes,2,2,19,5463593
1,2413,Furnished,Suburban,No,8,3,23,7085101
4,2276,Semi-Furnished,Rural,No,4,2,23,7941562
2,2096,Unfurnished,Suburban,No,9,0,14,6242177
3,2414,Furnished,Rural,Yes,1,3,10,8297880
4,2966,Furnished,Rural,No,6,2,11,9859416
5,1349,Furnished,Rural,No,1,3,8,6379937
1,2609,Unfurnished,Suburban,Yes,3,2,12,7699013
5,2763,Unfurnished,Urban,No,6,3,14,10446310
4,502,Semi-Furnished,Urban,Yes,3,2,26,4404668
4,659,Unfurnished,Suburban,Yes,6,0,14,3887933
4,1280,Unfurnished,Urban,No,6,3,27,5812458
5,1392,Furnished,Urban,No,0,3,4,7764866
4,2530,Semi-Furnished,Rural,No,5,3,22,8634280
5,2876,Unfurnished,Rural,Yes,8,3,18,10495013
4,1079,Unfurnished,Suburban,Yes,1,0,25,5133525
3,2433,Furnished,Suburban,Yes,2,3,19,8981358
4,1880,Furnished,Urban,No,9,1,25,7272426
5,1790,Unfurnished,Rural,No,4,0,24,6647772
2,2140,Semi-Furnished,Suburban,No,8,1,25,6589378
4,1451,Semi-Furnished,Suburban,No,3,3,25,6067303
2,1487,Furnished,Suburban,Yes,0,2,13,5891103
3,1718,Furnished,Suburban,Yes,3,1,27,6694042
1,1420,Unfurnished,Suburban,Yes,5,3,16,4980166
3,1855,Furnished,Suburban,Yes,4,1,17,6871805
4,669,Unfurnished,Urban,No,0,3,20,4670991
2,1020,Semi-Furnished,Rural,No,3,3,2,4032482
2,1986,Semi-Furnished,Rural,No,5,3,1,6638336
5,539,Unfurnished,Suburban,Yes,9,2,0,4786829
2,2060,Furnished,Rural,Yes,9,1,9,6776226
5,1918,Semi-Furnished,Rural,No,3,0,18,7288248
1,1454,Furnished,Rural,No,8,0,16,4006961
4,1483,Semi-Furnished,Suburban,Yes,4,0,11,6776539
5,1474,Unfurnished,Suburban,No,7,0,0,6220782
1,537,Unfurnished,Rural,Yes,8,3,11,2252966
2,2875,Unfurnished,Rural,Yes,9,1,16,8391542
2,1774,Semi-Furnished,Suburban,Yes,4,1,23,6141862
1,1699,Furnished,Urban,No,5,2,2,6187404
2,2125,Furnished,Rural,No,0,1,10,6651021
1,1413,Furnished,Urban,Yes,10,1,16,5444610
5,953,Semi-Furnished,Rural,No,6,1,22,4746286
5,536,Semi-Furnished,Urban,Yes,3,2,25,5218636
1,2211,Semi-Furnished,Urban,Yes,10,0,2,7455369
5,1295,Semi-Furnished,Urban,Yes,1,1,7,7222064
5,1472,Semi-Furnished,Suburban,Yes,4,2,19,6806768
5,1092,Furnished,Urban,No,2,2,3,6654122
3,1637,Semi-Furnished,Urban,Yes,5,3,20,6882406
4,1824,Semi-Furnished,Urban,Yes,7,2,21,7538879
2,2771,Furnished,Rural,No,6,0,6,8279532
3,817,Semi-Furnished,Urban,Yes,2,1,13,4624970
5,2896,Furnished,Rural,Yes,7,2,13,10611080
1,2662,Furnished,Urban,No,1,0,3,8080961
5,1846,Unfurnished,Urban,No,9,2,15,8258808
4,2091,Unfurnished,Suburban,No,8,2,23,7288233
5,2389,Unfurnished,Rural,Yes,3,2,28,8556360
1,2587,Unfurnished,Urban,No,0,2,21,7805871
4,2496,Semi-Furnished,Rural,No,7,2,29,8045871
5,2272,Unfurnished,Rural,Yes,6,0,0,8650493
4,1812,Furnished,Suburban,Yes,10,1,16,7214163
2,1785,Semi-Furnished,Suburban,Yes,4,1,24,6322923
2,715,Unfurnished,Suburban,Yes,9,1,9,3460329
5,2883,Furnished,Suburban,Yes,4,1,21,10418217
4,2639,Semi-Furnished,Suburban,No,6,0,15,8837663
1,2900,Semi-Furnished,Suburban,No,4,3,15,8661783
5,2204,Unfurnished,Suburban,No,7,3,25,8243108
2,862,Semi-Furnished,Suburban,Yes,10,0,7,3765128
2,2216,Furnished,Urban,Yes,5,0,28,7435692
5,1693,Semi-Furnished,Rural,Yes,4,2,6,7177107
4,855,Furnished,Suburban,No,8,2,27,5061608
2,690,Semi-Furnished,Suburban,No,10,2,5,3411721
4,2969,Unfurnished,Rural,Yes,1,1,15,9738823
2,1199,Furnished,Urban,No,0,2,19,5159394
2,2554,Semi-Furnished,Rural,Yes,7,3,15,7838093
3,2680,Semi-Furnished,Rural,No,2,1,6,8428809
2,1056,Semi-Furnished,Suburban,No,10,2,8,4536800
1,1325,Furnished,Rural,No,6,1,13,4064847
5,1554,Furnished,Rural,Yes,9,3,10,7573622
5,925,Furnished,Suburban,No,10,2,25,5616803
4,2910,Unfurnished,Suburban,No,7,3,25,9808782
2,2074,Unfurnished,Suburban,Yes,5,3,13,6983068
1,2629,Furnished,Suburban,No,9,3,6,7986531
4,2903,Semi-Furnished,Rural,Yes,8,2,0,9934782
3,1088,Unfurnished,Rural,Yes,6,0,25,4059248
4,2512,Furnished,Urban,Yes,9,2,24,9709157
4,2047,Semi-Furnished,Urban,Yes,4,3,12,8193185
2,794,Unfurnished,Rural,Yes,7,2,19,3203377
3,2485,Semi-Furnished,Urban,No,1,3,2,9154117
4,1747,Semi-Furnished,Rural,Yes,6,0,19,6431991
1,2048,Semi-Furnished,Urban,Yes,3,1,3,7268254
1,2190,Semi-Furnished,Suburban,Yes,8,0,28,6399356
5,1636,Unfurnished,Urban,Yes,0,0,25,7452038
3,1756,Unfurnished,Suburban,No,6,1,10,6196807
3,2564,Unfurnished,Suburban,Yes,5,2,1,9077495
5,859,Furnished,Suburban,No,7,1,13,5664513
4,1199,Unfurnished,Suburban,Yes,4,2,11,6039838
3,947,Semi-Furnished,Urban,No,0,2,29,4369071
1,2912,Unfurnished,Rural,Yes,0,3,16,8159264
1,1174,Semi-Furnished,Suburban,Yes,8,3,11,4495967
2,1507,Furnished,Urban,No,9,1,25,5715350
3,1849,Semi-Furnished,Suburban,Yes,5,0,11,6939770
4,2961,Semi-Furnished,Urban,No,9,1,0,10384721
5,1085,Semi-Furnished,Urban,Yes,4,2,12,6586067
5,1756,Furnished,Urban,No,0,3,13,7876014
4,1747,Unfurnished,Rural,Yes,5,1,23,6645889
2,1493,Unfurnished,Urban,Yes,5,1,29,5300025
5,1935,Furnished,Urban,No,2,3,1,8978672
3,1071,Semi-Furnished,Rural,Yes,7,3,11,4845570
2,2882,Unfurnished,Rural,Yes,0,3,25,8684205
3,1745,Furnished,Urban,Yes,0,2,20,6694998
1,2584,Unfurnished,Rural,Yes,5,3,27,7166677
2,1488,Furnished,Suburban,Yes,9,0,15,5498836
5,777,Semi-Furnished,Suburban,Yes,0,1,3,5341772
2,1719,Unfurnished,Rural,No,5,3,7,5952745
2,2387,Furnished,Rural,No,0,3,1,7620034
2,983,Unfurnished,Urban,No,5,2,9,4531859
2,1765,Unfurnished,Rural,Yes,2,2,8,5923750
3,1230,Unfurnished,Urban,No,7,1,22,5337303
1,2739,Unfurnished,Suburban,Yes,5,0,14,7634062
4,1540,Furnished,Rural,Yes,10,1,12,6313406
2,1417,Semi-Furnished,Urban,Yes,0,3,22,6071713
5,2948,Furnished,Urban,Yes,4,0,16,11135064
2,1385,Furnished,Suburban,No,7,0,29,4373512
5,521,Furnished,Rural,Yes,2,0,15,4094638
3,973,Semi-Furnished,Suburban,No,5,0,27,4069776
5,2757,Unfurnished,Urban,Yes,4,1,1,10790052
4,2853,Unfurnished,Urban,No,5,2,19,9716653
